speech_dataset,speech_uid,speech_filename
globe,S_001106_000002,000002.flac
globe,S_014869_000001,000001.flac
globe,S_016042_000000,000000.flac
globe,S_005872_000000,000000.flac
globe,S_010379_000000,000000.flac
globe,S_010653_000000,000000.flac
globe,S_001218_000001,000001.flac
globe,S_013656_000002,000002.flac
globe,S_011541_000000,000000.flac
globe,S_022230_000001,000001.flac
globe,S_001492_000002,000002.flac
globe,S_014653_000001,000001.flac
globe,S_010606_000001,000001.flac
globe,S_011852_000000,000000.flac
globe,S_015795_000003,000003.flac
globe,S_023295_000001,000001.flac
globe,S_004354_000001,000001.flac
globe,S_018743_000008,000008.flac
globe,S_019534_000002,000002.flac
globe,S_019519_000002,000002.flac
globe,S_021105_000003,000003.flac
globe,S_021871_000002,000002.flac
globe,S_019351_000002,000002.flac
globe,S_013109_000004,000004.flac
globe,S_008977_000010,000010.flac
globe,S_001844_000000,000000.flac
globe,S_017319_000001,000001.flac
globe,S_007703_000001,000001.flac
globe,S_018272_000004,000004.flac
globe,S_014344_000001,000001.flac
globe,S_008977_000011,000011.flac
globe,S_016225_000002,000002.flac
globe,S_002321_000000,000000.flac
globe,S_004460_000002,000002.flac
globe,S_012538_000002,000002.flac
globe,S_023527_000000,000000.flac
globe,S_009653_000010,000010.flac
globe,S_019195_000000,000000.flac
globe,S_015966_000000,000000.flac
globe,S_001391_000000,000000.flac
globe,S_005055_000002,000002.flac
globe,S_005600_000001,000001.flac
globe,S_009484_000009,000009.flac
globe,S_004295_000003,000003.flac
globe,S_022798_000002,000002.flac
globe,S_002769_000002,000002.flac
globe,S_020198_000012,000012.flac
globe,S_014982_000001,000001.flac
globe,S_023505_000003,000003.flac
globe,S_004295_000007,000007.flac
globe,S_004309_000000,000000.flac
globe,S_007626_000001,000001.flac
globe,S_001672_000000,000000.flac
globe,S_006917_000004,000004.flac
globe,S_022525_000003,000003.flac
globe,S_012284_000000,000000.flac
globe,S_010830_000002,000002.flac
globe,S_011852_000003,000003.flac
globe,S_014363_000006,000006.flac
globe,S_002995_000000,000000.flac
globe,S_018361_000002,000002.flac
globe,S_001916_000003,000003.flac
globe,S_009828_000000,000000.flac
globe,S_004993_000001,000001.flac
globe,S_022368_000003,000003.flac
globe,S_001672_000004,000004.flac
libritts,4446_2273_000008_000003,4446_2273_000008_000003.wav
libritts,6829_68771_000035_000000,6829_68771_000035_000000.wav
libritts,6829_68771_000010_000005,6829_68771_000010_000005.wav
libritts,4970_29093_000044_000000,4970_29093_000044_000000.wav
libritts,8555_284447_000008_000000,8555_284447_000008_000000.wav
libritts,4970_29095_000028_000000,4970_29095_000028_000000.wav
libritts,6829_68771_000030_000000,6829_68771_000030_000000.wav
libritts,1995_1826_000036_000000,1995_1826_000036_000000.wav
libritts,4446_2273_000001_000003,4446_2273_000001_000003.wav
libritts,1995_1836_000007_000001,1995_1836_000007_000001.wav
libritts,6829_68771_000044_000007,6829_68771_000044_000007.wav
libritts,4970_29095_000027_000000,4970_29095_000027_000000.wav
libritts,6829_68771_000015_000001,6829_68771_000015_000001.wav
libritts,4970_29095_000002_000002,4970_29095_000002_000002.wav
libritts,6829_68771_000012_000000,6829_68771_000012_000000.wav
libritts,121_127105_000020_000009,121_127105_000020_000009.wav
libritts,4970_29095_000055_000001,4970_29095_000055_000001.wav
libritts,4970_29093_000007_000000,4970_29093_000007_000000.wav
libritts,6829_68771_000016_000000,6829_68771_000016_000000.wav
libritts,237_126133_000027_000000,237_126133_000027_000000.wav
libritts,4970_29095_000007_000000,4970_29095_000007_000000.wav
libritts,6829_68771_000010_000007,6829_68771_000010_000007.wav
libritts,121_127105_000014_000000,121_127105_000014_000000.wav
libritts,237_126133_000051_000002,237_126133_000051_000002.wav
libritts,4970_29095_000031_000000,4970_29095_000031_000000.wav
libritts,4446_2273_000001_000001,4446_2273_000001_000001.wav
libritts,6829_68771_000028_000000,6829_68771_000028_000000.wav
libritts,4970_29093_000017_000000,4970_29093_000017_000000.wav
libritts,4970_29095_000020_000000,4970_29095_000020_000000.wav
libritts,4970_29095_000019_000003,4970_29095_000019_000003.wav
libritts,4446_2273_000006_000000,4446_2273_000006_000000.wav
libritts,4970_29095_000015_000000,4970_29095_000015_000000.wav
libritts,6829_68771_000018_000000,6829_68771_000018_000000.wav
libritts,4970_29095_000035_000000,4970_29095_000035_000000.wav
libritts,4970_29095_000049_000002,4970_29095_000049_000002.wav
libritts,6829_68771_000017_000000,6829_68771_000017_000000.wav
libritts,4970_29093_000013_000003,4970_29093_000013_000003.wav
libritts,4446_2275_000046_000006,4446_2275_000046_000006.wav
libritts,4970_29093_000027_000001,4970_29093_000027_000001.wav
libritts,8555_284449_000058_000000,8555_284449_000058_000000.wav
libritts,4970_29095_000029_000001,4970_29095_000029_000001.wav
libritts,4446_2273_000035_000000,4446_2273_000035_000000.wav
libritts,121_121726_000029_000003,121_121726_000029_000003.wav
libritts,8555_284449_000048_000000,8555_284449_000048_000000.wav
libritts,121_127105_000016_000002,121_127105_000016_000002.wav
libritts,237_134500_000036_000005,237_134500_000036_000005.wav
libritts,4970_29093_000022_000000,4970_29093_000022_000000.wav
libritts,4970_29095_000049_000001,4970_29095_000049_000001.wav
libritts,8555_284447_000010_000000,8555_284447_000010_000000.wav
libritts,4970_29093_000010_000001,4970_29093_000010_000001.wav
vctk,s5_280_mic2,s5_280_mic2.flac
vctk,s5_040_mic2,s5_040_mic2.flac
vctk,s5_157_mic2,s5_157_mic2.flac
vctk,s5_180_mic2,s5_180_mic2.flac
vctk,p257_004_mic2,p257_004_mic2.flac
vctk,p257_248_mic2,p257_248_mic2.flac
vctk,s5_144_mic2,s5_144_mic2.flac
vctk,s5_363_mic2,s5_363_mic2.flac
vctk,s5_108_mic2,s5_108_mic2.flac
vctk,s5_263_mic2,s5_263_mic2.flac
vctk,s5_093_mic2,s5_093_mic2.flac
vctk,s5_392_mic2,s5_392_mic2.flac
vctk,p232_094_mic2,p232_094_mic2.flac
vctk,p257_168_mic2,p257_168_mic2.flac
vctk,p257_025_mic2,p257_025_mic2.flac
vctk,s5_173_mic2,s5_173_mic2.flac
vctk,s5_050_mic1,s5_050_mic1.flac
vctk,s5_189_mic2,s5_189_mic2.flac
vctk,p232_253_mic2,p232_253_mic2.flac
vctk,s5_379_mic2,s5_379_mic2.flac
vctk,p232_185_mic2,p232_185_mic2.flac
vctk,p232_175_mic1,p232_175_mic1.flac
vctk,p232_348_mic2,p232_348_mic2.flac
vctk,p232_008_mic2,p232_008_mic2.flac
vctk,p232_032_mic2,p232_032_mic2.flac
vctk,p232_017_mic2,p232_017_mic2.flac
vctk,p232_049_mic2,p232_049_mic2.flac
vctk,p257_101_mic2,p257_101_mic2.flac
vctk,s5_396_mic2,s5_396_mic2.flac
vctk,p257_336_mic2,p257_336_mic2.flac
vctk,p257_071_mic2,p257_071_mic2.flac
vctk,p232_002_mic2,p232_002_mic2.flac
vctk,s5_140_mic2,s5_140_mic2.flac
vctk,s5_300_mic2,s5_300_mic2.flac
vctk,p232_410_mic2,p232_410_mic2.flac
vctk,s5_360_mic2,s5_360_mic2.flac
vctk,p232_397_mic2,p232_397_mic2.flac
vctk,p232_029_mic2,p232_029_mic2.flac
vctk,p257_206_mic2,p257_206_mic2.flac
vctk,p257_237_mic2,p257_237_mic2.flac
vctk,s5_357_mic2,s5_357_mic2.flac
vctk,p257_381_mic2,p257_381_mic2.flac
vctk,s5_099_mic2,s5_099_mic2.flac
vctk,p257_223_mic2,p257_223_mic2.flac
vctk,s5_017_mic2,s5_017_mic2.flac
vctk,p232_200_mic2,p232_200_mic2.flac
vctk,s5_190_mic2,s5_190_mic2.flac
vctk,s5_205_mic2,s5_205_mic2.flac
vctk,p232_030_mic2,p232_030_mic2.flac
vctk,p257_366_mic2,p257_366_mic2.flac
vctk,s5_381_mic2,s5_381_mic2.flac
vctk,s5_307_mic2,s5_307_mic2.flac
vctk,p232_262_mic1,p232_262_mic1.flac
vctk,s5_215_mic2,s5_215_mic2.flac
vctk,s5_220_mic2,s5_220_mic2.flac
vctk,s5_380_mic2,s5_380_mic2.flac
vctk,s5_153_mic2,s5_153_mic2.flac
vctk,p232_337_mic1,p232_337_mic1.flac
vctk,p232_204_mic2,p232_204_mic2.flac
vctk,p232_109_mic2,p232_109_mic2.flac
vctk,s5_399_mic2,s5_399_mic2.flac
vctk,p232_275_mic1,p232_275_mic1.flac
vctk,s5_125_mic2,s5_125_mic2.flac
vctk,p257_422_mic2,p257_422_mic2.flac
vctk,p232_119_mic2,p232_119_mic2.flac
vctk,p232_237_mic2,p232_237_mic2.flac
vctk,s5_012_mic2,s5_012_mic2.flac
vctk,s5_020_mic2,s5_020_mic2.flac
vctk,p232_216_mic2,p232_216_mic2.flac
vctk,s5_067_mic2,s5_067_mic2.flac
vctk,p232_128_mic1,p232_128_mic1.flac
